,评论,日期,评分,城市,昵称
809,搞笑   也很现实  画面感也非常好的  ,2018-08-04,5.0,绍兴,斯心i
824,很好看的国产动画片,2018-08-04,4.5,北京,RHU834228224
839,陪伴我六年的侠岚，真的很感动♡♡就是剧情转换的有点僵硬，但打斗什么的斗超棒的,2018-08-04,5.0,佛山,CMF326913266
854,挺不错的，哈哈,2018-08-04,4.0,十堰,哈哈哈77739
884,好看不做作。,2018-08-04,5.0,济南,萄菇凉198
899,直观感受：国漫在进步，故事讲的也挺好的，有喜有悲，老少皆宜，看完心情也很不错。,2018-08-04,4.5,咸阳,请叫我毛小小
914,买了票没时间看,2018-08-04,2.5,南京,无用户公名
929,真的很喜欢，特别好看,2018-08-04,5.0,藁城,iUr240202121
959,打斗场面不是想象中那么多   剧情很好  有笑点有泪点  是我看过最好看的国漫了  强力推荐去看,2018-08-04,5.0,南宁,EUi862601289
1004,为路老师打call,2018-08-04,4.0,漳州,雅殊614
1049,超好看的电影，3D效果很好。看完决定回家追侠岚😝,2018-08-04,5.0,长治,冰颖玥
1064,国漫，有其他电影特有的中国文字的魅力,2018-08-04,5.0,南昌,小麦熟了么
1079,男主配音没有边江大大好，祭祀那段配乐笑skr 人了嘎嘎,2018-08-04,3.5,慈溪,XiK795652948
1109,还不错，孩子表示喜欢,2018-08-04,4.0,济南,BsC280888509
1138,重返侠岚，找回童年，很有感触，值得一看！,2018-08-04,5.0,西安,阿凡达684
1139,喜欢这部电影的画风，人物都很精致，可惜有点烂尾，导演最后太随意了,2018-08-04,3.0,成都,VCO801317229
1154,国产动漫，真的强，很好看非常好看！！！,2018-08-04,5.0,天津,lnF738008847
1169,电影非常好看，我从小学就开始追侠岚了，听说侠岚要出风雨咒的大电影，我一直很期待，看完电影非常没有让我失望，剧情非常好，但是打怪一招就秒了让我觉得是这部电影的一个缺陷，所以我给8分,2018-08-04,4.0,哈密,DeW802741972
1199,不错，不错，国产动画精品,2018-08-04,4.5,南通,JayAI
1214,好看，必须的好看，不少的正流行的笑点，也有有很多自己独特的方向，本来因为有一点未注意到的点，想着打9分，可这是咱自家的作品，必须给10分，开始放歌别跑，还有呢,2018-08-04,5.0,株洲,JaW370583611
1229,好看。。。。。。,2018-08-04,5.0,郑州,ehF303471661
1244,好看，国漫加油！,2018-08-04,5.0,南京,hIU750271325
1259,看预告这画面还以为类似渣渣辉代言的那些网游广告呢,2018-08-04,0.5,广州,Tao14468
1274,好看，国产动画电影拍的不错。,2018-08-04,5.0,四平,小鱼76542
1289,超出预想太多了，真的好看,2018-08-04,5.0,成都,ZFI598465136
1304,意外的好看，不错！！！感动到我了，哭了！国漫威武😘😘😘😘😘,2018-08-04,5.0,南京,Bqo463338484
1319,挺好的，感动,2018-08-04,3.5,南昌,YqZ670883224
1334,第一次看国产的电影，好看，好看，值得一看,2018-08-04,5.0,丹东,小乙美容养生会馆
1349,超级棒！完美！,2018-08-04,5.0,齐齐哈尔,Jyq507568174
1364,"非常好😀国产动漫出这样真的是意想不到
",2018-08-04,5.0,吉林,自恋小夫君975
1379,是特好看的电影，值得推荐！,2018-08-04,5.0,上海,浴火凤凰421
1394,可以给满分 💯 但希望国漫越来越好,2018-08-04,4.5,赣州,lcC543960225
1409,很好看，搞笑又不失教育，人人都有守护的人，不过结尾那个零没有复活，有可惜,2018-08-04,5.0,长春,nOc385852953
1424,电影的画面音效非常棒！谁说中国的动画电影不如外国的！此片除了剧情稍微差点儿，剩下的都非常好。,2018-08-04,4.5,哈尔滨,东西南北满天飞
1439,完，美。！！！,2018-08-04,5.0,武汉,吴子涵4231
1454,剧情挺好的制作也不错，但是名字不应该是风雨咒应该是侠岚大电影,2018-08-04,5.0,石家庄,WqX809400203
1469,还行，剧情单薄了点，其它挺好的,2018-08-04,4.0,宁波,恒星
1484,太好看了！画质很好,2018-08-04,5.0,郑州,李罡400
1499,国漫之光，今天晚上补番,2018-08-04,5.0,西安,vOy354166396
1514,棒，超级好看，超级棒,2018-08-04,5.0,北京,fpn492865413
1529,不错  值得一看,2018-08-04,5.0,沈阳,nsn362315073
1544,属实一般。🙃,2018-08-04,2.5,常熟,阿成辣么帅
1559,饕餮有点不上档次，全程内容也并不能够太催泪，但故事讲的不错，虽说悬念过于明显，但也给人以感触 ,2018-08-04,4.5,郑州,SpB915179681
1589,总体还可以吧，支持一下国产漫画,2018-08-04,3.5,北京,Joshua
1604,两个瑕疵，战斗画面不够激烈，但整体还算不错，我的票数决定你的去留，我给你的是。。。yes,2018-08-04,4.0,临汾,叫我胡大人320
1619,就是蛮好看的,2018-08-04,5.0,呼和浩特,qipengpeng1985
1634,好看!真的好看!,2018-08-04,5.0,长沙,Ats535178517
1649,还可以，感觉3D效果没有侏罗纪2好。,2018-08-04,5.0,宁波,大雪无痕174
1664,特别好看，国产神作,2018-08-04,5.0,儋州,烟街斜雨
1679,好看，美好的电影,2018-08-04,5.0,武汉,XqP214754494
1694,给我看的热血沸腾的，好像又回到了少年的侠岚时代，真好,2018-08-04,5.0,葫芦岛,Hhm524920912
1724,挺不错的国产良心动漫,2018-08-04,5.0,成都,COO460647710
1739,超级级好看，比想象中的好看多了，剧中情节很精彩，特效也好，片的内容有搞笑，有感动，总之就是非常好看。,2018-08-04,5.0,太原,LTo182482319
1754,好看😊😊😊😊😊😊😊,2018-08-04,5.0,平南县,Uib489950640
