,评论,日期,评分,城市,昵称
12854,乱七八糟，莫名其妙,2018/7/21,1.5,福州,天元花园李先生
12899,姜文的片子一直都不错,2018/7/21,4.5,成都,开水187
12914,非常好耶，特别是彭彭,2018/7/21,5.0,桑植,hNV486812090
12929,汗毛竖起……,2018/7/21,5.0,北京,????我就这么张℡  
12944,彭于晏特别帅,2018/7/21,5.0,通海县,EMP463883856
12959,真的是烂片，太难受了,2018/7/21,0.5,成都,HVh81192369
12989,看看看看看睡着了？？？,2018/7/21,5.0,南京,听听超可爱
13004,很好看，很有逻辑思维！适合小众人群,2018/7/21,4.0,兰州,KSS628112
13019,电影总体复合预期，一如既往的有些不太明白，但也有不少好笑的场面。,2018/7/21,4.0,深圳,昆冈430
13049,本来能写个一，导演硬是写成了吊！真吊！,2018/7/21,5.0,邯郸,CAFE的味道
13064,有血腥色情镜头，没提示适合多大的孩子看，非常差的片子，,2018/7/21,1.0,信阳,ASDF0GHJK
13079,演员阵容和演技没得说，但故事情节差强人意，没啥看头！,2018/7/21,3.0,拉萨,feM224396640
13214,还行吧，，，,2018/7/21,4.0,南阳,wNY651046548
13244,除了看不懂情节，其他都是上乘,2018/7/21,3.0,泰州,fUu339584873
13259,好看好看好看,2018/7/21,4.0,沈阳,张光植
13274,挺好的，推荐看,2018/7/21,5.0,沈阳,越狱的兔兔189
13289,没有强烈的节奏感，剧情没有特别突出的部分，很中庸的一部电影。,2018/7/21,3.5,巴中,明勇1982
13379,以前不怎么喜欢彭于晏  看完这部电影觉的他长得真帅啊！这部剧给我的感觉整体一般 还好吧不无聊,2018/7/21,4.0,通辽,LXz633167131
13424,好看，不要被负面评论影响，确实值得一看,2018/7/21,5.0,,DPu921901768
13454,没看懂……可能我品味太低吧,2018/7/21,2.5,连云港,15252840402
13469,平淡无奇，剧情平平淡淡,2018/7/21,3.0,许昌,AvA571374413
13484,姜文的电影有点莫名其妙不过老北京的风光真的是好啊！,2018/7/21,4.5,广州,头号迷人
13574,超级烂，导演估计是喝醉了在臆想,2018/7/21,1.0,深圳,nuW657874350
13589,不好看，粉转路,2018/7/21,1.0,杭州,irQ784753305
13634,好看   很姜文   和刚认识的一个小姐姐去看的   很开心,2018/7/21,4.5,濮阳,瑶大爷and瑶大爷
13664,彭于晏 没有他 也就那么回事了,2018/7/21,4.0,上海,润358
13679,姜的电影只需看一部“让子弹飞”，让人有点新鲜感，其他的都不用看了，再看就感觉夸张、无聊。,2018/7/21,3.0,武汉,MGR621410685
13694,喜欢姜文的蓝青峰,2018/7/21,5.0,临沭,喜歡h
13739,1.姜文式的姜文风格电影 2.全场最好笑的莫过于廖凡饰演嗯朱潜龙和明太祖的合影，像极了 3.在特殊时期的背景，充斥着压抑和黑色幽默 4.周韵和许晴饰演的两个角色，真的是喜欢的不得了5.彭于晏一次成功的露肉，满满的荷尔蒙,2018/7/21,4.0,厦门,黄huangxn
13754,烂到无话可说??,2018/7/21,0.5,贵阳,rainbow
13904,快看睡着了……,2018/7/21,1.0,南京,sbX79248839
13934,一如既往地姜文导演风格，很燃！有些情节看不懂，打算多刷几遍。,2018/7/21,5.0,郯城,m3b7081wxh
13994,都是大仙，太奇怪，不接地气，,2018/7/21,3.0,北京,一路阳光1695
14039,原以为还可以的，结果真心的不咋地,2018/7/21,1.0,武汉,lNN865981032
14099,什么鬼！挺严肃的事，怎么拍成了喜剧！悲壮的时候还都乐，有啥好乐的！,2018/7/21,2.0,三河,KsW741003663
14129,很好，姜文的电影一遍是看不懂的。,2018/7/21,5.0,哈尔滨,kPo783856489
14309,直抵内心的悲伤外加表面的欢乐。,2018/7/21,4.5,秦皇岛,AwU505304184
14399,好看是好看，但剧情稍冗长了点,2018/7/21,3.5,太原,ChB723771208
14489,不好看，不好看,2018/7/21,2.5,兴安盟,mLz179197885
14534,还可以。9分鼓励。,2018/7/21,4.5,长沙,gxy9988
14549,姜文电影好！挺好！,2018/7/21,5.0,新乡,TIY839232174
14564,简直看不懂，偶尔的黑色幽默总是格格不入,2018/7/21,1.5,北京,面向大海的人9
14579,不好看！！！！！,2018/7/21,3.0,镇江,zhang5232084
14594,好看，还可以吧,2018/7/21,3.5,深圳,jWq289925711
14609,酣畅的感觉，挺有劲儿的一部片子，不刻意的老北京透着老北京的劲头儿，带着西方舶来文化的杂糅，有意思,2018/7/21,4.5,天津,zhuzi1223
14894,非常好看。从故事架构、内容到镜头都非常的姜文。,2018/7/21,5.0,武汉,Zzzzqm
14909,节奏紧凑，姜文的文艺范,2018/7/21,4.0,北京,KmA843303964
14939,挺好啊，说看不懂的是不是想太多了。比大部分电影好看。,2018/7/21,5.0,淄博,wudiabu
