,评论,日期,评分,城市,昵称
1574,还可以。笑点多,2018/7/21,4.0,郑州,流云0306
1589,还行吧，一个人杀两个人的故事。,2018/7/21,4.0,昆明,vivi的玻璃虫
1604,感觉有点偏向文字而缺乏吸引力，中途甚至有人离场,2018/7/21,3.0,昆明,jpj13708474805
1619,三部曲越来越下坡路,2018/7/21,2.5,贵阳,符号
1634,还可以。。。，,2018/7/21,4.5,北京,HaV430934195
1649,其实还算是比较清晰的讲了一个故事，而且细节挺值得回味。,2018/7/21,4.0,西安,rUy572567674
1664,姜文出品精品,2018/7/21,5.0,沙湾,ngL803579577
1694,姜文的电影，就是这种个性，看到很多人评价不好，可能是没认真看，回想一下姜文所有的电影，台词风格都是这套路。,2018/7/21,5.0,溧阳,行者浪迹天涯
1709,中间有一点点看不懂,2018/7/21,4.5,郑州,Vun676734019
1724,剧情乱七八糟，姜文**装大了，到后面圆不回来，只有自己被拔牙。里面穿插一些人物都不知道干嘛的，差，真差，7分都多了。,2018/7/21,1.5,孝感,阎伟238
1754,今天看的最难看的一部电影。浪费钱啊！,2018/7/21,0.5,桐乡,渐行的风
1769,感觉一般，不如让子弹飞,2018/7/21,3.5,长沙,叫我麦丁
1874,请问猫眼影评的评论员，你是良心评价吗？7.4？,2018/7/21,5.0,北京,ReN51840230
1889,算是喜剧片么？笑点多？,2018/7/21,3.5,沈阳,裂锦。114
1919,真的不咋滴哦,2018/7/21,2.0,丽江,Vpw514347972
2159,把个人英雄主义演的跟跳梁小丑也是没谁了,2018/7/21,0.5,北京,ky200019
2174,只能说比较一般,2018/7/21,2.5,上海,周鸣969
2189,还可以，故事一般,2018/7/21,4.0,北京,nof205629541
2204,本年度最烂的电影没有之一,2018/7/21,0.5,广州,ZOk810941424
2219,个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018/7/21,5.0,长治,小梁梁么啊
2234,许晴臀，于晏胸,2018/7/21,4.0,贵阳,QgN15757175079
2249,挺好看的，，,2018/7/21,5.0,泸州,xNd628588343
2279,真的真的好好看,2018/7/21,5.0,桐乡,prl125706457
2324,节奏快，厉害厉害,2018/7/21,4.5,上海,QEc135413986
2339,仰慕姜文导演的大作已久,2018/7/21,5.0,兰州,西北书城
2489,有点血腥，受不了,2018/7/21,2.5,襄城县,mqT351770462
2579,胡求扯！！！,2018/7/21,3.0,兰州,贝塔722
2594,电影挺好，但是什么破地方,2018/7/21,5.0,哈尔滨,fLG166370272
2609,还不错，台词很有感觉，开场比较血腥。,2018/7/21,4.0,芜湖,Cherry19840220
2624,剧情还可以吧,2018/7/21,4.0,江阴,听听听848
2639,剧情真是蠢死了，看得很尴尬。三分冲脸给,2018/7/21,1.5,瑞安,HgM195407961
2654,看似荒诞闹腾，实则发人深思,2018/7/21,4.5,新密,Ors491584283
2684,电影本身没什么，就是看着觉得有点枯燥,2018/7/21,3.0,长春,yujiachun7882
2714,好看，精彩极了,2018/7/21,5.0,运城,曾经最美8071
2744,还不错！！！,2018/7/21,4.0,上海,汪允昭
2759,巨难看 浪费钱 真真的,2018/7/21,1.0,莆田,rIp372352977
2774,"来看彭于晏的??
除了一些搞笑部分其余的很一般吧",2018/7/21,3.5,成都,end向日葵rui
2789,乱七不糟，糊里糊涂。,2018/7/21,1.0,大庆,TdJ214103125
2879,烂片，烂烂片,2018/7/21,0.5,郴州,Ofl306695578
2894,挺不错的电影，反映了当代社会的弊端。,2018/7/21,4.5,西安,sAj825568556
2939,一般般一般般,2018/7/21,2.5,上海,Plantreess
2984,不错！很好很好!,2018/7/21,5.0,沛县,晁哥哥
3269,演技不错，剧情散乱,2018/7/21,3.0,西宁,Zlg353481329
3299,隐喻和暗线太深，不怪评论里好多人骂。但是不认真看电影的也好多。值得十分,2018/7/21,5.0,西安,西风残照
3314,垃圾。。。。。。,2018/7/21,0.5,合肥,Piercetang34
3554,看不懂！要表达什么?,2018/7/21,2.5,珠海,ziX731019125
3629,中国人支持国货,2018/7/21,5.0,郑州,RcL428184021
3659,整部片子都在飘～有点太夸张了...,2018/7/21,4.0,北京,狐狸没成精
3704,好看，大家都来看,2018/7/21,5.0,遂宁,qeE528429429
3719,这个电影还是有情调的，有恐转喜，前面有点血腥，后面还蛮感人。,2018/7/21,4.0,长沙,酱紫
3734,姜文是鬼才，这才叫电影，期待下一个姜文的电影。,2018/7/21,5.0,烟台,pIu483795727
3749,真难看??????,2018/7/21,1.0,北京,ShI141922530
3764,还是报有很大希望的一部电影 结果还是挺失望的 中途超想离场 还是控制啦一下,2018/7/21,1.5,长春,Nip511948947
3779,"看不懂……以为自己能看懂的。就说说能看懂的吧。电影构图画面做得都不错，可是有时候背景音乐感觉不太适合
也许看懂了一点什么，可是仔细说又说不上来。
看懂了什么呢……到底什么是邪不压正？
是什么呢。",2018/7/21,3.5,徐州,今天也只能吃外卖
3854,最后结局看不懂，只感觉彭于晏这个角色好像没有什么智商一样,2018/7/21,4.0,武汉,xuwei5120
3884,棒棒哒??????,2018/7/21,5.0,呼和浩特,Myj1919666
3929,一般，就记得他在屋顶跳来跳去,2018/7/21,3.5,十堰,欧雨茜490
3944,故事情节曲折，值得推荐！,2018/7/21,5.0,临潼,另类12度
