评论,日期,评分,城市,昵称
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
姜文的电影，就是这种个性，看到很多人评价不好，可能是没认真看，回想一下姜文所有的电影，台词风格都是这套路。,2018-07-21,5.0,溧阳,行者浪迹天涯
中间有一点点看不懂,2018-07-21,4.5,郑州,Vun676734019
剧情乱七八糟，姜文**装大了，到后面圆不回来，只有自己被拔牙。里面穿插一些人物都不知道干嘛的，差，真差，7分都多了。,2018-07-21,1.5,孝感,阎伟238
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
中间有一点点看不懂,2018-07-21,4.5,郑州,Vun676734019
剧情乱七八糟，姜文**装大了，到后面圆不回来，只有自己被拔牙。里面穿插一些人物都不知道干嘛的，差，真差，7分都多了。,2018-07-21,1.5,孝感,阎伟238
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
剧情乱七八糟，姜文**装大了，到后面圆不回来，只有自己被拔牙。里面穿插一些人物都不知道干嘛的，差，真差，7分都多了。,2018-07-21,1.5,孝感,阎伟238
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
仰慕姜文导演的大作已久,2018-07-21,5.0,兰州,西北书城
剧情乱七八糟，姜文**装大了，到后面圆不回来，只有自己被拔牙。里面穿插一些人物都不知道干嘛的，差，真差，7分都多了。,2018-07-21,1.5,孝感,阎伟238
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
中间有一点点看不懂,2018-07-21,4.5,郑州,Vun676734019
剧情乱七八糟，姜文**装大了，到后面圆不回来，只有自己被拔牙。里面穿插一些人物都不知道干嘛的，差，真差，7分都多了。,2018-07-21,1.5,孝感,阎伟238
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
剧情乱七八糟，姜文**装大了，到后面圆不回来，只有自己被拔牙。里面穿插一些人物都不知道干嘛的，差，真差，7分都多了。,2018-07-21,1.5,孝感,阎伟238
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
剧情乱七八糟，姜文**装大了，到后面圆不回来，只有自己被拔牙。里面穿插一些人物都不知道干嘛的，差，真差，7分都多了。,2018-07-21,1.5,孝感,阎伟238
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
中间有一点点看不懂,2018-07-21,4.5,郑州,Vun676734019
剧情乱七八糟，姜文**装大了，到后面圆不回来，只有自己被拔牙。里面穿插一些人物都不知道干嘛的，差，真差，7分都多了。,2018-07-21,1.5,孝感,阎伟238
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
姜文的电影，就是这种个性，看到很多人评价不好，可能是没认真看，回想一下姜文所有的电影，台词风格都是这套路。,2018-07-21,5.0,溧阳,行者浪迹天涯
中间有一点点看不懂,2018-07-21,4.5,郑州,Vun676734019
剧情乱七八糟，姜文**装大了，到后面圆不回来，只有自己被拔牙。里面穿插一些人物都不知道干嘛的，差，真差，7分都多了。,2018-07-21,1.5,孝感,阎伟238
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
中间有一点点看不懂,2018-07-21,4.5,郑州,Vun676734019
剧情乱七八糟，姜文**装大了，到后面圆不回来，只有自己被拔牙。里面穿插一些人物都不知道干嘛的，差，真差，7分都多了。,2018-07-21,1.5,孝感,阎伟238
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
剧情乱七八糟，姜文**装大了，到后面圆不回来，只有自己被拔牙。里面穿插一些人物都不知道干嘛的，差，真差，7分都多了。,2018-07-21,1.5,孝感,阎伟238
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
仰慕姜文导演的大作已久,2018-07-21,5.0,兰州,西北书城
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
仰慕姜文导演的大作已久,2018-07-21,5.0,兰州,西北书城
有点血腥，受不了,2018-07-21,2.5,襄城县,mqT351770462
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
仰慕姜文导演的大作已久,2018-07-21,5.0,兰州,西北书城
有点血腥，受不了,2018-07-21,2.5,襄城县,mqT351770462
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
仰慕姜文导演的大作已久,2018-07-21,5.0,兰州,西北书城
有点血腥，受不了,2018-07-21,2.5,襄城县,mqT351770462
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
仰慕姜文导演的大作已久,2018-07-21,5.0,兰州,西北书城
今天看的最难看的一部电影。浪费钱啊！,2018-07-21,0.5,桐乡,渐行的风
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
仰慕姜文导演的大作已久,2018-07-21,5.0,兰州,西北书城
感觉一般，不如让子弹飞,2018-07-21,3.5,长沙,叫我麦丁
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
仰慕姜文导演的大作已久,2018-07-21,5.0,兰州,西北书城
有点血腥，受不了,2018-07-21,2.5,襄城县,mqT351770462
请问猫眼影评的评论员，你是良心评价吗？7.4？,2018-07-21,5.0,北京,ReN51840230
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
仰慕姜文导演的大作已久,2018-07-21,5.0,兰州,西北书城
有点血腥，受不了,2018-07-21,2.5,襄城县,mqT351770462
胡求扯！！！,2018-07-21,3.0,兰州,贝塔722
算是喜剧片么？笑点多？,2018-07-21,3.5,沈阳,裂锦。114
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
仰慕姜文导演的大作已久,2018-07-21,5.0,兰州,西北书城
有点血腥，受不了,2018-07-21,2.5,襄城县,mqT351770462
胡求扯！！！,2018-07-21,3.0,兰州,贝塔722
电影挺好，但是什么破地方,2018-07-21,5.0,哈尔滨,fLG166370272
真的不咋滴哦,2018-07-21,2.0,丽江,Vpw514347972
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
仰慕姜文导演的大作已久,2018-07-21,5.0,兰州,西北书城
有点血腥，受不了,2018-07-21,2.5,襄城县,mqT351770462
胡求扯！！！,2018-07-21,3.0,兰州,贝塔722
电影挺好，但是什么破地方,2018-07-21,5.0,哈尔滨,fLG166370272
还不错，台词很有感觉，开场比较血腥。,2018-07-21,4.0,芜湖,Cherry19840220
把个人英雄主义演的跟跳梁小丑也是没谁了,2018-07-21,0.5,北京,ky200019
只能说比较一般,2018-07-21,2.5,上海,周鸣969
还可以，故事一般,2018-07-21,4.0,北京,nof205629541
本年度最烂的电影没有之一,2018-07-21,0.5,广州,ZOk810941424
个人感觉很好看，并没有像别人说的看不懂，无论剧情还是制作，都很精良。值得一看。所以大家不要被其他人的观点误导啊～,2018-07-21,5.0,长治,小梁梁么啊
许晴臀，于晏胸,2018-07-21,4.0,贵阳,QgN15757175079
挺好看的，，,2018-07-21,5.0,泸州,xNd628588343
真的真的好好看,2018-07-21,5.0,桐乡,prl125706457
节奏快，厉害厉害,2018-07-21,4.5,上海,QEc135413986
仰慕姜文导演的大作已久,2018-07-21,5.0,兰州,西北书城
