评论,日期,评分,城市,昵称
非常棒！是典型的日本电影压抑的风格，你只要对日本文化有所了解，你就会喜欢！,2018-08-08,5.0,上海,mDV632446511
电影很细致，前半部分讲温情，后半部分开始瓦解，尤其是安藤樱哭的那段。,2018-08-08,4.5,青岛,Nhd196321018
没看懂。。。。。。,2018-08-08,2.5,南阳,qwt213365678
很好看，拍的有深度，有内涵！引人深思！,2018-08-08,4.5,上海,闻鸡起舞770
包场看完，静不下心应该是看不下去的电影。在国内票房不会太好吧！毕竟很多人只想热闹个过程，而此片节奏较慢，画面不华丽，故事又沉重~可是演员们不像在表演，纯朴真实细腻才是是枝裕和的电影特色。,2018-08-08,3.5,深圳,XRX104630413
无聊到爆炸。。一分都不想给,2018-08-08,0.5,厦门,愈158
故事缓缓而来，太过真实。细细体会一把贫穷交加中的大爱无疆。只是小部分人的自我享受,2018-08-08,4.5,化州,qXp764017200
看不懂。。。。。。,2018-08-08,0.5,德阳,纽扣的妞妞
"亲情本自没有血缘的陌生人，因有爱而有情，这是人类生活的基础事实。那么看看《钱塘老娘舅》、看看我们的社会，是什么在妨碍家人之间真诚、真实、暖心的情感互动？是自私？是不完善的人格？是生活智慧还是制度习俗的不足？

按通常的社会评价标准，《小偷家族》中六个没有血缘关系、各有人生不幸的社会底层成员，缺乏所谓雄心壮志，甚至有严重的道德缺失，但他们组建起的临时家庭虽然脆弱却比许多正常家庭更富温情：随意融洽，小做作，不掩饰，在琐碎日常中实现了丰富的情感表达。

令人思考，作为标配的基于血缘的人类情感较之互相寻找到共度苦乐时光的真情，孰真孰幻，孰轻孰重？家庭，是否仅仅只能是一种模式？",2018-08-08,5.0,绍兴,书生拙自谋
节奏慢是真的慢，全程看小正太,2018-08-08,3.5,温州,ror779566002
即使被不同的家庭“遗弃”，也“重组”处一个完整的家庭。在这里，家族成员相亲相爱，度过了一段充满爱的难忘时光……加之演员们的表演细腻入微，刻画出人物形象鲜明的性格。,2018-08-08,4.5,成都,牙尖勒兔崽子
节奏很慢，很压抑，但确实很现实,2018-08-08,5.0,乌鲁木齐,BOSS大玩家
结尾结得我不知所措。,2018-08-08,4.0,滨州,Destiny
好看，但是嘛挺難懂的。他們偷的是感情，而不是生活用品。,2018-08-08,5.0,佛山,GAn850824371
好看 深入人心的好电影😘😘😘,2018-08-08,5.0,上海,vvN519289811
电影院忒一般，又吵又热,2018-08-08,3.5,哈尔滨,重振大中华
节奏一流，不煽情不催泪。但眼泪就是要流,2018-08-08,5.0,杭州,Oyp934880412
看完以后心情很难受，在人生无边的黑暗中，一点点快乐的微光，很快就熄灭了,2018-08-08,4.5,郑州,廖雨兵
影片很有深意 引人深思吧,2018-08-08,5.0,成都,Look4you964
配音太渣，听着根本看不下去,2018-08-08,2.5,武汉,UjW984837977
第一次一个人看的电影，因为人物都很温暖，所以没感受到一个人的凄凉感。,2018-08-08,4.0,赣州,老命730
不错不错很喜欢,2018-08-08,5.0,青岛,大老王大人
此片虽然全过程无尿点哭点笑点 但确实很温馨 适合和老年人等拥有耐心的人看 很多情节都耐人回味 这个影片也直视了日本当代的问题 偷也许不多见 但却存在 一个家庭的环境决定了这个孩子的暂时爱好兴趣 每个家长都应该做好榜样 偷能带来暂时的团聚 但不是永远,2018-08-08,3.5,常德,不洗头也一样帅
安静，舒服，感人。,2018-08-08,5.0,宁波,yNZ753156501
幸福的人可能看不懂！,2018-08-08,4.5,织金,tkk249081324
真的真的太好看了。喜欢日本平平淡淡电影，日本电影一直都是这样风格，人们点点滴滴然后拿出来。小偷家族虽然互相利用着但是他们没有忘记善心。人都是有两面。可以看出这部电影人的人性突出表现。我是从头看到尾，很让人说不出来感觉。有感动有心酸。,2018-08-08,5.0,宁波,A我叫小鱼
一如既往的是枝裕和的风格。每个人物都很鲜明，生活化的呈现却直击人的内心，看到最后哭的稀里哗啦的～,2018-08-08,5.0,武汉,qRQ385327323
太难看，看了都睡着了,2018-08-08,0.5,沭阳,udn816180412
看不懂在讲什么😂,2018-08-08,0.5,诸暨,Forever·917
情感细腻，用最不用力的方式展现着真实的悲惨,2018-08-08,5.0,瑞安,人见宝一蛋
电影表达的层次太多，有很多地方没看懂不知道想表达的意思是什么，还需要多几年的阅历才行，过两年再看会不一样吧。,2018-08-08,4.5,青岛,゛✎ℳ๓₯㎕އ不打烊的小酒馆
看的时候有点点平淡，但是回味起来，很有深度。一方面他们为了生存选择偷东西，另一方面6个没有血缘关系的人相互取暖，相互依赖。又很有爱。,2018-08-08,4.0,新昌,伪浪人
挺好看的，反映社会,2018-08-08,5.0,漳州,QHt618778874
静静地在电影院里欣赏一部温情的影片 真好,2018-08-08,4.0,合肥,tnp827811628
挺好看的！看哭了😭,2018-08-08,4.5,上海,典型左撇子
有点结束的莫名其妙。,2018-08-08,3.0,苏州,rpv411182737
莫名就很感动 日本的电影总有一些莫名的情怀,2018-08-08,4.5,随州,流年不负时光
节奏缓慢但自然，如入梦境，敲打成感动,2018-08-08,5.0,长沙,tjh175718670
前期节奏太慢了，没有耐心的建议不看，但从反转开始，就比较触动人心了。说实话之前都不明白在演什么，算是温情电影吧！,2018-08-08,4.0,广安,GCc318225531
很温情的影片~符合导演的一贯风格，不是有泪水的电影才动人，而是真情动人,2018-08-08,5.0,荆州,nIw801443061
还好吧，结尾真的有点出乎意料还以为祥太会他们生活呢,2018-08-08,3.5,合肥,EaS818390412
请原谅我这个肤浅的中国人看不懂做小偷的日本人一家的日常[微笑],2018-08-08,0.5,宁波,lDP731754351
看了心塞，但是值得一看,2018-08-08,4.5,厦门,Dxd752585456
适合一个人静静的看，情感表达得很朴实细腻，琐琐碎碎却又能打动你,2018-08-08,4.5,大连,花开无言347
反正就是没看懂,2018-08-08,3.0,启东,rjl405429883
不知所云，鼾声四起，给我个遥控器，我要快进！(๑‾᷅^‾᷅๑) 嫌弃你,2018-08-08,0.0,浏阳,dTZ628900191
很好看 剧情好,2018-08-08,5.0,德清,oSD438134589
不错，有深意,2018-08-08,3.5,宁波,哈哈啦哈哈
真冷，冷死我了,2018-08-08,2.5,北京,ckv572543952
还可以…………,2018-08-08,4.0,武汉,spsprrr
