评论,日期,评分,城市,昵称
唔~敲击期待诶 敲击刺激的剧情 棒,2018-08-08,5.0,大庆,酷.
史坦积逊的电影肯定要去看看！,2018-08-08,4.5,惠州,TAF108328202
其实看着就觉得是一只小肥鱼,2018-08-08,0.0,兴宁,少年69706
我喜欢的杰森斯坦森又来了，这一部果然没有让我失望，还是一如既往的高水准，片中的巨齿鲨，看的好吓人啊，在这么热的时候，能看这么一部爽片儿，真的太好了！,2018-08-08,4.5,淄博,TyT742246264
电影讲得是一项由中国主导的国际科研项目，正在马里亚纳海沟深处进行时，遭遇未知生物攻击，科研人员被困海底。前美国海军陆战队深海潜水专家乔纳斯·泰勒受命前往营救，再度遭遇数年前曾经在深海给自己留下终身难以磨灭记忆的史前生物巨齿鲨。好看,2018-08-08,5.0,齐齐哈尔,xUx397549106
有中国演员在这片必毁！,2018-08-08,0.5,沭阳,大爱迈巴赫S
特别喜欢的一部电影，有我的冰冰女神，跟老公和儿子一起去看的，很精彩！！,2018-08-08,5.0,锦州,Oo尐静oO
惊险刺激，好看，3d效果棒棒,2018-08-08,5.0,广州,芷泫💕
看预告就刺激,2018-08-08,5.0,梅州,D49538
内容很好看 情节也是跌宕起伏 总之就是很好看啦,2018-08-08,5.0,密山,聂鑫nnnnnn
好刺激，好惊险,2018-08-08,5.0,长沙,ARK750705460
非常好看好看的不得了！！！！！,2018-08-08,5.0,东莞,yMf132029581
完美完美完美,2018-08-08,5.0,泸州,盖世小馒头
很好，很棒，值得看,2018-08-08,5.0,芜湖,OHl733014579
如果不是杰森和鲁比。。真不太想看。。,2018-08-08,3.5,南京,blR156909709
小时候我爸带我看《大白鲨》的心理阴影一直跟随了我十几年，今天不小心被我年过半百的爸爸看到了巨齿鲨的预告片说下个月要带我回忆童年，you happy is ok ：）,2018-08-08,5.0,博罗县,X钊.
这个剧情....真不咋的...又是大陆圈钱片...,2018-08-08,2.0,成都,lalaqaqa
非常惊险刺激的电影，男神和女神合作必然好看啊！杰森斯坦森帅出新高度，整部电影节奏好，视觉效果满分，好评！,2018-08-08,5.0,牡丹江,Peyhoob
没的说，也算是中美合作产品了，不比纯美版的逊色，期待更多如此完美的巨作。,2018-08-08,5.0,新安,丶她城他夏
"中美合拍的目前最好看的电影了，特效一级棒，李
冰永的演技也完成了- -次自我突破。会去二刷的",2018-08-08,5.0,湖州,蓝马表哥
明人不说暗话。我是看森叔来的！！,2018-08-08,5.0,霸州,子寒256
这部电影真的特别震撼，感觉杰森斯坦森的演技真是无与伦比，特效棒棒哒！,2018-08-08,5.0,烟台,亿情深
电影垃不垃圾 我不关心，只是为了杰森去看的￣ ￣)σ 。,2018-08-08,5.0,合肥,谦虚的年轻人
先抛开演员阵容不说，华纳兄弟出品，特效技术也完全可以放心，乔·德特杜巴导演的作品评分基本都在7-8分左右，更不提还有动作片专业户美国郭达，还有什么理由不去看？,2018-08-08,5.0,北京,abcmayujie
给个好评。演技个人感觉完全不错的。然后剧情引人入胜。给个10分好评。大家快去看吧,2018-08-08,5.0,义乌,zwh13404
很好看，全程很有看点，跟女朋友去看的，她本来不爱看这类电影，结果结束也说好,2018-08-08,5.0,齐齐哈尔,_qqscd1368769843
非常期待，值得一看,2018-08-08,5.0,北京,风轻云淡97618
你说你不去的士5，反而跑过来对抗鲨鱼？真是让人感叹。,2018-08-08,0.0,临海,大小宝
还没看就为杰森斯坦森而来,2018-08-08,5.0,上海,WJM210743055
准备去看，和一出好戏之间犹豫，就怕是五毛特效的烂片对不起我在这炎热夏日的来回奔跑,2018-08-08,3.0,徐州,风行雪上
亲爱的杰森又来了。这次不是跟黑社会搞，是跟大鲨鱼搞了，这种电影不看i max怎么行，即使出差也要看零点场，支持杰森支持李冰冰！大伙赶紧i  max和杜比走起来，晚了没好位置了！,2018-08-08,5.0,扬州,中国龙
我就想知道这玩意跟侏罗纪世界那个沧龙哪个厉害😄,2018-08-08,5.0,盐城,DGl950538336
这种片就得在电影院才能看到效果。,2018-08-08,5.0,天津,MsM932948482
看完预告片，那个大章鱼，要是烤来吃应该很舒服😂😂😂,2018-08-08,5.0,扬州,MARVEL，DC
中美合拍的目前最好看的电影了，特效一级棒，李冰冰的演技也完成了一次自我突破。会去二刷的,2018-08-08,5.0,北京,DMKGX
为什么一定要有中国演员！！很恶心的，,2018-08-08,0.5,张家口,黄家驹637
非常不错哦⊙∀⊙！,2018-08-08,5.0,淮安,〆嘴角、一抹微笑。
就喜欢这种科幻片！爱情公寓下一场再看吧！,2018-08-08,5.0,鞍山,LQ0099
国际科幻巨制《巨齿鲨》场面壮观，打斗精彩，情节紧张刺激，视觉特效一流。整个观影过程仿佛身临其境一般，给人以无比凉爽的感官体验。,2018-08-08,5.0,宁德,linyu2192k
故事情节比较老套，但画风很美，所要表达的和传递的信息是灰常正能量滴！,2018-08-08,4.5,北京,刘志芳108
"片头一开始就埋下了伏笔，科研组探测并入驻了海洋11000米的位置给观众提供了一个奇观性的暗示和两个问题的思索：①万米以下的海洋到底是什么样子的？②人类到底可不可以到达万米以下的海洋？
为此，片中科研项目领头人张博士还给这个思考动力加了法码：A. 如果项目组能到达万米以下，13亿的投资价值将得到体现；B.如果科研设备不能进入到万米以下的海域，13亿的投资将会打水漂。
电影开篇不仅短时间内激发了观众对海洋知识的好奇心，也通过一些简单科普知识增加了电影情感的感染力，调动观众积极性，拉近了观众和海洋的距离。",2018-08-08,5.0,三河,杜娟
制作这种电影，也许会让人加深对鲨鱼的恐惧，鲨鱼每年有一亿条被杀，却有多少人知道？吃人的鲨鱼也就那么几种而已。,2018-08-08,3.5,广州,fbg210131943
感觉这部怪兽片拍的非常真实，很让人热血沸腾。,2018-08-08,5.0,南京,月光下、奔跑少年
特别好看，高级赞同,2018-08-08,5.0,郑州,mmc883706729
这绝对是来中国圈钱的,2018-08-08,0.0,深圳,Qdr278575723
有杰森，应该没问题,2018-08-08,3.5,成都,富婆她爹
郭达出品，必是精品,2018-08-08,0.0,临沂,ljvyy
非常好看的电影。,2018-08-08,5.0,重庆,XsZ714008102
"落落快回家吧
我和女朋友在一起一年多了，但经历了很多，真的非常爱她，可是可能吧因为不够好，在她付出了很多的时候，最终离开了，这个不能怪她，是我自己没有抓住，记得那时候我们一起看前任三，哭的稀里哗啦的。真的这些回忆真的都特别美好，在普通的人生里，请记住那个与你看电影的人，每个电影都是一个故事，但是我现在发这个信息不是来缅怀自己的人生的，我是来找回我的落落，如果你们看到了这条信息，请一定要转发或者点赞，并且说上一句，落落我错了，你在哪里，我在等你回家啊！😘😘😘😘
     
                                 你的杨小涛，和你分手第九天写",2018-08-08,5.0,宣城,杨小涛爱落落
提前看了巨齿鲨的点映，还是IMAX 版的，视觉效果很好。想看这个片子主要是因为杰森斯坦森，后来看演员表里还有中国演员，就对影片有了疑惑，不过看完感觉还好，李冰冰演技也不错，重点是那个小演员，可好玩了。影片里杰森斯坦森不穿衣服的镜头真是太诱惑了哈哈。如果剧情不那么俗套的话，我会给满分。,2018-08-08,4.0,青岛,木子李
感谢万达影城IMAX举办的最新冒险片《巨齿鲨》19城超前看片会。本片绝对是暑期爽片，绚丽、神秘的深海世界因为巨齿鲨出没增添十二分的凶险，而总有一些天生的冒险家不甘寂寞，英勇挑战不可能的任务，勇斗远古巨型深海掠食者——巨齿鲨，人鲨大战刺激且时有”惊喜”，露腹肌的的斯塔森这次不是一个人在战斗，小团队的协作时有火花，李冰冰靚丽依旧且多了点女神范。影片主打动作冒险，第二条巨齿鲨来的牵强但也算是给观众的一个小惊喜，总体瑕不掩瑜，结尾处三亚湾海滨浴场简直就是巨齿鲨的大餐盘，今后有机会到三亚湾时不懂会不会有阴影[呲牙]暑期爽片不容错过，重要的是观赏本片必须特效大厅，才能充分体现大海的宽广深邃及巨齿鲨的庞大。,2018-08-08,4.0,厦门,eTK862766469
非常好看，杰森一如既往地在片中饰演硬汉，几次与鲨鱼的对打戏都非常精彩，明知其具备主角光环，但不禁还是为他捏了一把汗。李冰冰的演技就不说了，都快掉进鲨鱼嘴里还不慌不忙的，鲨鱼设定没有想象中的大，原以为有个80多米，看看<狂暴巨兽>里面那鳄鱼先生才叫霸气,2018-08-08,4.0,东莞,小情绪lisa
阿森的电影全部看了个遍，就没落下过，何况出新电影呢，肯定要看的呀，,2018-08-08,4.5,盐城,小斌子985
应该是很好看的一部,2018-08-08,4.5,南通,想你的夜6110
李冰冰要是能在这种电影中出演那种穿着救生服或者普通牛仔裤短发的角色就好了,2018-08-08,0.0,苏州,RAq618039547
总体感觉故事情节设置紧凑，元素多元化，搞笑，感情，打怪等等都有，视效也不错，总体来说是可以的,2018-08-08,3.5,大连,dGT732579029
又见中国人民的老朋友郭达斯坦森。此番再度出击，与国内演员李冰冰携手出击，共同应战史前级的凶猛动物巨齿鲨，绝对是一场引爆影迷肾上腺素的大战！优异的制作团队打造出的本片视觉效果极佳，身躯庞大的鲨鱼不仅体型惊人，凶残程度也令人闻风丧胆，好几处场景都被鲨鱼强大的攻击性所震撼到，加上影片凌厉迅猛的快节奏已经配合的相得益彰的音乐，《巨齿鲨》毫无疑问是8月以来最爽的电影作品，值得推荐！,2018-08-08,4.5,上海,mcgrady2009
应该很好看的,2018-08-08,5.0,钦州,' 💙冰淇淋。
故事情节一般，没有想象中的那么吓人！女主颜值担当，男主也是帅呆了，酷毙了！也许巨齿鲨的恐怖没有表现的淋漓尽致，偶尔会有那么一下被吓到，反倒涵哥每次看到鲨鱼就紧张的两腿不停的抖动加油！嗯嗯，不过还是值得一看,2018-08-08,4.0,长沙,得亿洋洋
好看，小萝莉可爱！给妈妈当红娘有笑点。就是次数有点多，最后一次多余。赵文瑄死前的一段戏烂到家。杰森演的不错。鲁比是个多余角色没有什么表演，倒是配角佩吉很喜感。IMAX特效不错，惊悚刺激！,2018-08-07,3.5,东莞,Celine_leung
强烈支持我冰,2018-08-07,5.0,吴江,mfU908934163
没看过，应该很好看😊,2018-08-07,5.0,西安,dJU961394944
很不错的电影，惊险刺激，剧情细腻，揭露了，探索与杀戮并存，残酷世界的本质。值得推荐，必须支持！,2018-08-07,5.0,西安,HrY101033642
这是在致敬，曾经的大白鲨吗？,2018-08-07,5.0,武汉,unl924849358
情节曲折得恰到好处，节奏感十足，喜剧元素和动作场面把控得非常平衡。” 鲨鱼的形象恐怖而逼真。棒棒哒,2018-08-07,4.0,苏州,Angelina
相信我，如果不是和爱情公寓同时上映，巨齿鲨会更火。,2018-08-07,4.5,深圳,yikayC
"深海恐怖片
人类与自然的对抗
韧力与柔情的流露
巨齿鲨的到来完美诠释",2018-08-07,5.0,昆明,初温的海豚音
很不错的商业电影，惊险刺激，衔接连贯，剧情细腻，可能是小姑娘太抢镜，大冰冰女主地位有些动摇。玩笑而已，冰冰这次帅气勇气并存，是不可或缺的重要角色。本片揭露了，探索与杀戮并存，残酷世界的本质。值得推荐。,2018-08-07,4.0,上海,RXv893599557
饥饿鲨。。。,2018-08-07,4.0,深圳,ltB653126363
巨齿鲨：值得推荐大家观看的一部电影，影片中朋友之间互相帮助，为了救朋友而牺牲自已，这种精神值得学习，电影在拍摄中发挥了丰富的想象力，“巨大的史前怪兽、流畅的动作戏和幽默的笑点，刺激性和趣味性兼备。”深海冒险的惊心动魄，影片中激爽劲爆的动作场面引起观众尖叫,2018-08-07,4.5,东莞,冯新民
期待！希望不负重望.,2018-08-07,5.0,苍溪县,心满意足
偶像啊。大爱偶像,2018-08-07,5.0,深圳,JSO127522075
好看好看好看,2018-08-07,4.5,上海,余淮的大宝贝
值得一看，非常刺激，惊险。IMAX厅非常的有感觉，还有这个整部电影的特效效果非常的好。真是让人心惊胆跳。非常好的一部电影。,2018-08-07,4.5,东莞,BOY大大
杰森斯坦森，莱昂纳多两位是我最喜欢的两位美国实力男演员。,2018-08-07,5.0,肥西县,搭车2018
看的点映  挺好  尤其喜欢李冰冰  驾驶滑翔艇时  眼神坚定   而面对女儿梅英时  又无比的温柔  感觉这才是一个女人极致的性感,2018-08-07,4.5,天津,泠泷SPRING
其实本人非常怕这种吃人的电影，心惊肉跳的感觉，可是也很期待去看����,2018-08-07,3.5,中山,Hxx606
期待，杰森斯坦森😍😍😍😍,2018-08-07,5.0,成都,凡凡fan.fan
今年为止最好看的怪物片，吓了好几跳，让我想起了《大白鲨》系列电影，过瘾，就是有段台词真的超级尬……,2018-08-07,4.0,福州,志明说电影
惊险，刺激，过瘾,2018-08-07,4.5,宜宾,清风伊人460
有杰森在，就有好感，必须得去影院看一下,2018-08-07,5.0,深圳,严志强
想看杰森打鲨鱼 想看杰森打鲨鱼 想看杰森打鲨鱼 ，重要的事情得说三遍，哈哈哈哈。,2018-08-07,5.0,深圳,落叶无声
我杰森的电影居然要等到8月才上，票钱现在就备好了，欧耶。,2018-08-07,5.0,杭州,模拟自己
杰斯，斯坦森的片子都是精品,2018-08-07,5.0,长沙,菜菜18310
郭大爷一出，谁与争锋！！鲨鱼什么的都是小菜一碟，想看杰森魅力大散发。,2018-08-07,5.0,西安,吴彦祖
郭达·斯坦森一出现，简直荷尔蒙爆棚，必须电影院支持！！！！^o^,2018-08-07,4.5,深圳,天道
终于又有郭达的电影上映啦，还是在国内哪有不支持的道理！光头杰森，魅力无敌呀。,2018-08-07,5.0,西安,gDA275659539
鲨鱼、杰森，emmmm终于有了个进电影院的理由（*＾ワ＾*）,2018-08-07,4.5,深圳,麥釦史溝飛
不错，场面很壮观刺激，演技也都不错,2018-08-07,5.0,南昌,hId515216336
想看杰森肉搏大鲨鱼，哈哈哈，不知道这次硬汉跟鲨鱼的打斗谁输谁赢呀。,2018-08-07,5.0,西安,灵魂暗语
从《玩命速递》开始喜欢杰森，之后看了他一系列的电影，有杰森的《巨齿鲨》必须支持。,2018-08-07,5.0,西安,百花开时我不开
男女猪脚都是心头好呀！！！！,2018-08-07,4.5,西安,只爱陌生人
杰森跟李冰冰，莫名有种配一脸的感觉，虽然不是鲨鱼爱好者，但是想看他们俩谈恋爱呀,2018-08-07,5.0,西安,魚葉子
最帅气的女演员，最有魅力的男演员，这两个都是实力派，想来电影不会差，电影票我先预定一张。,2018-08-07,5.0,深圳,小新
我最喜欢的女演员跟我最喜欢的男演员合作啦！这电影必须看^o^,2018-08-07,4.5,西安,黑桃酥
胆子小，老是被吓到。但还是比较喜欢看这种巨兽题材的电影。故事情节环环相扣，男主很man，女主也很漂亮。特效做得很棒，巨幕的观影效果非常棒！,2018-08-07,5.0,武汉,胡致远宝宝
"#参加毒舌影迷会活动#
 Crazy 三进三出颇为震撼，困境形式不一，花式救援，每次援救苏茵都毫不犹豫纵身一跃，归来时，总有队员渐渐消失在银幕，越到最后，生还的探索者就越少，少到可以依靠一块悬浮甲板来逃生！如果用精心胆战来形容观看的心情的话，那么苏茵的淡定从容显得相当的勇敢，不管面临多么严峻的形势，好像她都不会紧张，心跳都不会加速，除非……除非小鹿乱撞才惊慌不知所措吧……从破碎的婚姻走出，又邂逅唯美的爱情，这缕希望之光在鲨鱼齿边显得熠熠生辉……
@毒舌影迷会东莞站 @电影莞",2018-08-07,5.0,东莞,new198807
居然觉得李冰冰跟杰森挺有CP感的，好想看他们谈恋爱呀,2018-08-07,5.0,深圳,西楼
