评论,日期,评分,城市
完全不知道演什么，从来没看过这么差劲的片子～,2018/7/21,2,长沙
好看，意犹未尽，反派干脆利落，惨烈的剧情却配了雄伟的交响乐，优美的享受着就看完了整部片子。,2018/7/21,5,晋中
