name,data-id
马尔代夫,10101
云南,12711
澳大利亚,10202
美国,10062
台湾,12684
泰国,10083
日本,10183
四川,12703
阿联酋,11213
新西兰,10544
英国,10122
香港,10189
新加坡,10754
浙江,14575
爱尔兰,11131
伊朗,11699
印尼,10181
埃及,10178
澳门,10206
海南,12938
斯里兰卡,11058
意大利,10051
马来西亚,10097
摩洛哥,12033
福建,12871
尼泊尔,10069
法国,10171
江苏,14387
越南,10180
印度,10182
瑞士,10169
广东,14674
柬埔寨,10070
西班牙,10173
广西,12810
缅甸,10179
葡萄牙,10172
西藏,12700
菲律宾,10067
俄罗斯,10300
贵州,14103
文莱,10753
德国,10176
西北,31808
山东,12976
奥地利,10175
山西,13033
希腊,10168
湖南,13732
土耳其,10053
湖北,14731
捷克,10174
安徽,12719
匈牙利,11094
江西,15508
冰岛,14431
河北,14407
荷兰,11099
河南,12967
比利时,11105
内蒙古,12720
欧洲其他,14431
东北,16215
北京,10065
上海,10099
重庆,10208
天津,10320
