data-id,城市,印象,城市游记,印象游记,景点游记,餐饮游记,购物游记,娱乐游记
10018,束河,酒吧 夜市萤火 凉粉 杂货店 雪山倒映 烟柳平桥 酥油茶 餐厅 火腿,817,897,330,177,94,296
11347,江布拉克,,0,0,0,0,0,0
15820,盐城,,145,0,0,0,0,0
14445,周口,,32,0,0,0,0,0
10819,台北,夜市 西门町 自然风光 下午茶 书店 早餐 人文艺术 夜生活 温泉,6308,6814,2026,2684,803,1301
24202,镇北堡影视城,,35,0,0,0,0,0
11484,濮阳,,45,0,0,0,0,0
50311,溧阳,,331,0,0,0,0,0
12430,关山牧场,,0,0,0,0,0,0
21434,垦丁,海滩 自然美景 夜市 垦丁大街 电影 小吃 鱼生 夜宿海生馆 酒吧,1588,2736,1333,824,381,198
24270,鹤壁,,50,0,0,0,0,0
84751,江宁,,55,0,0,0,0,0
19265,博斯腾湖,,0,0,0,0,0,0
15325,花莲,公正包子 森林 炸弹葱油饼 麻薯 太平洋 亲子 出海,1067,2584,1061,1444,0,79
64160,修武,,0,0,0,0,0,0
11416,锦溪,,327,0,0,0,0,0
16585,鳌山,,0,0,0,0,0,0
12658,法门寺,,0,0,0,0,0,0
66292,新郑,,30,0,0,0,0,0
11065,高雄,自然风光 夜市 都市风情 骑行 海鲜 夕阳 木瓜牛奶 侨美凤梨酥 酒吧&咖啡馆,751,1911,788,662,71,390
12251,江阴,,127,0,0,0,0,0
17979,卡拉库里湖,,0,0,0,0,0,0
15961,鲁山,,0,0,0,0,0,0
15966,常州恐龙园,,185,0,0,0,0,0
16405,台中,糕饼 自然风光 逢甲夜市 人文艺术 大肠包小肠 看电影 俊美凤梨酥 温泉泡汤 太阳饼,729,703,198,334,74,97
18046,水洞沟,,0,0,0,0,0,0
16887,淮阳,,0,0,0,0,0,0
10429,太仓,,121,0,0,0,0,0
23039,九份,神隐少女-九份山城 芋圆 茶楼与咖啡馆 黑糖麻糬 红糟肉圆 草仔粿 芋粿,346,1016,480,296,91,149
16814,统万城,,0,0,0,0,0,0
14760,神垕,,0,0,0,0,0,0
23129,宿迁,,114,0,0,0,0,0
18047,海宝塔,,0,0,0,0,0,0
63871,西峡,,0,0,0,0,0,0
10044,阿里山,城市攻略>,372,0,0,0,0,0
48962,嵩县,,0,0,0,0,0,0
14774,木渎,,174,0,0,0,0,0
11424,崆峒山,,87,0,0,0,0,0
25339,金门,金门高粱酒 贡糖 金门牛肉干 广东粥 蚵仔面线 锅贴,612,0,0,0,0,0
140540,新密,,0,0,0,0,0,0
17397,高淳,,0,0,0,0,0,0
36362,纺织城艺术区,,0,0,0,0,0,0
66293,禹州,,0,0,0,0,0,0
11064,台南,历史古城 古早味小吃 安平古堡 百年饼铺 老房子咖啡馆 棺材板 虾卷 糕饼伴手礼 黑桥香肠,399,439,178,132,88,41
17664,丹阳,,0,0,0,0,0,0
28459,黄帝陵,,0,0,0,0,0,0
66287,灵宝,,0,0,0,0,0,0
18012,天山大峡谷,,0,0,0,0,0,0
59341,张家港,,67,0,0,0,0,0
12141,雨崩,雨崩村 经幡 酥油茶 青稞酒 农家乐 五树同根,1742,1227,842,385,0,0
64469,荥阳,,0,0,0,0,0,0
18013,克孜尔千佛洞,,0,0,0,0,0,0
18179,惠山古镇,,123,0,0,0,0,0
15943,玉龙雪山,,833,0,0,0,0,0
18032,艾提尕尔清真寺,,0,0,0,0,0,0
63870,新安,,25,0,0,0,0,0
84582,汤山,,0,0,0,0,0,0
66252,宁蒗彝族自治县,,0,0,0,0,0,0
18006,龟兹古城,,0,0,0,0,0,0
66295,遂平,,0,0,0,0,0,0
17746,盱眙,,59,0,0,0,0,0
16799,赛里木湖,,0,0,0,0,0,0
140612,汝州,,0,0,0,0,0,0
27224,迪庆,,60,0,0,0,0,0
17316,千灯,,0,0,0,0,0,0
20927,七一冰川,,27,0,0,0,0,0
64166,汤阴,,0,0,0,0,0,0
10806,梅里雪山,酒吧 美食餐厅 飞来寺观景台 外转山 内转山 耗牛火锅,1095,273,87,88,0,98
21529,茅山,,0,0,0,0,0,0
174194,可克达拉市,,0,0,0,0,0,0
140566,鄢陵,,0,0,0,0,0,0
10337,如皋,,52,0,0,0,0,0
10810,普者黑,游湖 辣椒 彝族歌舞表演 莲藕 荷叶炒蛋 餐厅 小黑药炖鸡 腰豆,1110,38,0,0,13,25
11359,刘家峡,,0,0,0,0,0,0
64167,商城县,,0,0,0,0,0,0
140688,启东,,0,0,0,0,0,0
18303,景洪,,212,0,0,0,0,0
18007,库木塔格沙漠,,38,0,0,0,0,0
140557,永城,,23,0,0,0,0,0
21034,高邮,,61,0,0,0,0,0
14296,博格达峰,,0,0,0,0,0,0
143793,中牟,,0,0,0,0,0,0
11660,元阳,梯田 云海 蘑菇房 赶集 牛肉 哈尼餐厅 烧豆腐 牛干巴,855,643,544,45,54,0
63220,句容,,0,0,0,0,0,0
16018,麦积山,,121,0,0,0,0,0
143782,偃师,,0,0,0,0,0,0
18048,溧水,,0,0,0,0,0,0
10808,罗平,螺蛳田 九龙瀑布 油菜花海 农家乐 蜂蜜 花米饭 砂锅饭 小黄姜,806,769,536,158,75,0
17808,南郭寺,,0,0,0,0,0,0
146823,封门村,,0,0,0,0,0,0
18896,东台,,50,0,0,0,0,0
30112,官鹅沟,,0,0,0,0,0,0
64937,恒春,绿豆馔 鱼生 乌鱼子 鱼干&鱼松 小米酒 手工编织链 夜宿海生馆 酒吧,38,0,0,0,0,0
64181,鹿邑,,0,0,0,0,0,0
27820,泰兴,,0,0,0,0,0,0
17913,交河故城,,0,0,0,0,0,0
64159,舞钢,,0,0,0,0,0,0
27771,屏东,垦丁大街 传统小吃 海鲜 夜宿海生馆 潜水 酒吧 鱼干&鱼松 东港鱼市场,62,2760,0,2090,32,638
19818,如东,,0,0,0,0,0,0
16895,黄河石林,,0,0,0,0,0,0
66289,沁阳,,0,0,0,0,0,0
11067,日月潭,,342,0,0,0,0,0
55434,邳州,,0,0,0,0,0,0
174347,平川区,,0,0,0,0,0,0
64200,卫辉,,0,0,0,0,0,0
64640,靖江,,0,0,0,0,0,0
12594,南投,日月潭 自然风光 酒之乡 小吃 人文怀旧 精品下午茶 手工巧克力 妖怪村 总统鱼,289,910,550,116,183,61
17998,新疆天鹅湖,,0,0,0,0,0,0
140562,方城,,0,0,0,0,0,0
64639,大丰,,0,0,0,0,0,0
143784,桐柏,,0,0,0,0,0,0
25340,台东,城市攻略>,366,0,0,0,0,0
10444,青岛,八大关 啤酒 公园 海鲜 劈柴院 烧烤 海水浴场 咖啡馆 血拼,13512,11623,4951,4045,416,2211
22266,黎里古镇,,0,0,0,0,0,0
66288,孟津,,0,0,0,0,0,0
26088,淡水,淡水古早美食 观渔人码头的夕阳 骑行 淡水珍珠 鱼酥,194,283,0,113,25,145
23995,太仓沙溪,,36,0,0,0,0,0
10575,济南,泉 山 芙蓉街 小吃 乘游船 老舍 油旋 听戏 阿胶,4122,3376,2269,890,0,217
18511,新野,,0,0,0,0,0,0
64642,海门,,0,0,0,0,0,0
22346,嘉义,,67,0,0,0,0,0
10284,泰山,寺庙宗祠 石碑篆刻 奇峰异石 煎饼 手信 烧烤 鲁菜 石敢当,4092,1660,1159,378,123,0
64158,郏县,,0,0,0,0,0,0
141611,金坛,,0,0,0,0,0,0
140568,民权县,,0,0,0,0,0,0
62975,新北,城市攻略>,75,0,0,0,0,0
10256,威海,海滨 海鲜 烧烤 垂钓 韩式料理 购物 韩国商品 泡温泉 刺参,1670,783,375,292,47,69
64641,海安,,0,0,0,0,0,0
143783,南召,,0,0,0,0,0,0
16211,宜兰,泡温泉 葱油饼 肉羹 包心粉圆 滑翔伞 宜兰饼（牛舌饼）,216,71,0,12,0,59
11243,烟台,海鲜 亲子 海滩娱乐 海产 水果 鲁菜 名酒 蓬莱小面 泡温泉,1334,1373,252,549,361,211
