公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月薪
深圳市海豚村信息技术有限公司,海豚村,150-500人,B轮,南山区,PHP工程师,1-3年,本科,10k-18k,"业务复杂,大并发量","['1', '3']",2.0,"['10', '18']",12.0
深圳市际客电子商务有限公司,际客国际,150-500人,未融资,龙岗区,PHP开发工程师,3-5年,大专,8k-16k,"技术强,团队强,挑战大,非外包","['3', '5']",4.0,"['8', '16']",10.0
深圳市超盟金服技术信息服务有限公司,超盟金服,150-500人,A轮,南山区,PHP,3-5年,大专,10k-20k,"五险一金,带薪年假,下午茶,团队年轻","['3', '5']",4.0,"['10', '20']",12.5
深圳民通服科技有限公司,民通服,15-50人,未融资,福田区,PHP（高级）开发工程师,3-5年,大专,14k-20k,"双休,年终奖,年度调薪","['3', '5']",4.0,"['14', '20']",15.5
深圳市迷你玩科技有限公司,迷你玩,50-150人,B轮,南山区,PHP开发工程师,3-5年,大专,10k-20k,"领导好,氛围好,平台好,下午茶","['3', '5']",4.0,"['10', '20']",12.5
深圳市明源云客电子商务有限公司,明源云,2000人以上,上市公司,南山区,初级PHP开发工程师,1-3年,本科,8k-16k,"BAT骨干,创新氛围","['1', '3']",2.0,"['8', '16']",10.0
深圳市银河世纪投资咨询有限公司,银河移民,50-150人,D轮及以上,福田区,中高级PHP工程师,3-5年,本科,10k-20k,"福利好,有前景","['3', '5']",4.0,"['10', '20']",12.5
深圳第壹黄金销售有限公司,第壹黄金,50-150人,不需要融资,南山区,PHP开发工程师,3-5年,大专,12k-20k,"发展空间大,氛围好,加班少","['3', '5']",4.0,"['12', '20']",14.0
深圳市蛋壳创意科技有限公司,蛋壳创意科技,50-150人,未融资,龙岗区,PHP开发工程师-中级,3-5年,大专,6k-8k,"地铁周边,朝九晚六,弹性上班,五险一金","['3', '5']",4.0,"['6', '8']",6.5
深圳市前海汇流信息科技有限公司,前海汇流,50-150人,A轮,南山区,初级PHP开发工程师,1-3年,本科,10k-20k,"高薪假多,土豪奖金,周末双休,帅哥美女多","['1', '3']",2.0,"['10', '20']",12.5
