公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月薪
深圳市一花科技有限公司,一花科技,50-150人,不需要融资,南山区,PHP开发,3-5年,大专,12k-20k,周末双休 下午茶 期权激励 团建活动多多,"['3', '5']",4.0,"['12', '20']",14.0
揭阳科盈科技有限公司,揭阳科盈科技有限公司,50-150人,不需要融资,南山区,PHP开发工程师,1-3年,大专,9k-18k,"周末双休,五险一金,年终奖,零食下午茶","['1', '3']",2.0,"['9', '18']",11.25
深圳市金三银四网络科技有限公司,返利360,15-50人,不需要融资,南山区,PHP开发工程师,1-3年,本科,10k-20k,"PHP,后台,web","['1', '3']",2.0,"['10', '20']",12.5
深圳市宏福圣货运代理有限公司,宏福圣货代,15-50人,不需要融资,龙岗区,php工程师,不限,不限,4k-6k,全勤奖,[],0.0,"['4', '6']",4.5
深圳市密维网络科技有限公司,密维,50-150人,未融资,南山区,高级PHP开发工程师,3-5年,大专,20k-35k,"PHP,高薪,带薪年假,员工旅游","['3', '5']",4.0,"['20', '35']",23.75
洛克天地网络科技（深圳）有限公司,洛克网络,少于15人,未融资,宝安区,高级PHP开发工程师,5-10年,硕士,25k-30k,"零食供应,年底双薪,带薪年假","['5', '10']",7.5,"['25', '30']",26.25
深圳优卡南方能源有限公司,优卡,50-150人,A轮,龙岗区,PHP高级开发工程师,3-5年,大专,10k-15k,"股票期权,带薪年假,绩效奖金,晋升空间大","['3', '5']",4.0,"['10', '15']",11.25
深圳市小泊科技有限公司,小泊,500-2000人,不需要融资,南山区,中级PHP开发工程师,3-5年,大专,13k-20k,"爸爸是万科,吃住行补贴,扁平化管理,员工福利棒","['3', '5']",4.0,"['13', '20']",14.75
深圳市一道网络有限公司,深圳市一道网络有限公司,15-50人,未融资,罗湖区,PHP开发工程师,1-3年,大专,8k-15k,"带薪年假,绩效奖金","['1', '3']",2.0,"['8', '15']",9.75
大地零一（深圳）科技有限公司,大地零一,50-150人,不需要融资,南山区,PHP开发工程师,1-3年,本科,15k-30k,"福利好,年轻团队,午餐补贴,7.5小时","['1', '3']",2.0,"['15', '30']",18.75
深圳市云客派科技有限公司,云客派,15-50人,不需要融资,龙华新区,PHP中级工程师,3-5年,大专,15k-25k,"五险一金,节日福利,股权分红,培训机会多","['3', '5']",4.0,"['15', '25']",17.5
深圳美丽经济科技有限公司,美丽经济,15-50人,不需要融资,南山区,php开发工程师,3-5年,大专,8k-15k,技术大牛,"['3', '5']",4.0,"['8', '15']",9.75
深圳市高巨电子有限公司,高巨电子,15-50人,未融资,龙岗区,研发主管 精通c+/php/java php调用C,3-5年,本科,8k-15k,"五险,晋升","['3', '5']",4.0,"['8', '15']",9.75
深圳深资创软件开发技术有限公司,深资创,15-50人,未融资,宝安区,PHP高级开发,3-5年,本科,15k-25k,"钱多,管理岗位,管理培训,创业指导","['3', '5']",4.0,"['15', '25']",17.5
深圳市奔跑科技有限公司,奔跑科技,少于15人,A轮,南山区,PHP开发工程师,应届毕业生,本科,3k-6k,"资深指导,快速成长,创业激情",[],0.0,"['3', '6']",3.75
深圳易加油信息科技有限公司,易加油,50-150人,B轮,南山区,php开发工程师,1-3年,本科,10k-15k,高成长性,"['1', '3']",2.0,"['10', '15']",11.25
深圳华冠网络科技服务有限公司,华冠网络科技,150-500人,不需要融资,罗湖区,php程序员,1-3年,大专,8k-12k,"五险,全勤奖","['1', '3']",2.0,"['8', '12']",9.0
亿达信息技术（深圳）有限公司,YIDATEC,2000人以上,不需要融资,南山区,php开发,1-3年,大专,11k-12k,"开发,朝九晚六","['1', '3']",2.0,"['11', '12']",11.25
深圳市优品未来科技有限公司,优品未来,15-50人,天使轮,南山区,（高薪急聘）PHP高级开发工程师,3-5年,本科,15k-20k,"PHP,高级开发,高薪急聘","['3', '5']",4.0,"['15', '20']",16.25
深圳市量智科技有限公司,量智科技,少于15人,天使轮,南山区,中高级PHP开发,3-5年,大专,16k-25k,晋升空间大,"['3', '5']",4.0,"['16', '25']",18.25
深圳世通佳源商贸有限公司,世通佳源,50-150人,天使轮,罗湖区,高（中）级PHP工程师,5-10年,大专,17k-25k,"紧急,薪酬优势","['5', '10']",7.5,"['17', '25']",19.0
上海金枣金融信息服务有限公司,维C理财,50-150人,A轮,福田区,PHP工程师,1-3年,本科,10k-20k,物权众筹，社交金融，五险一金，上班不打卡,"['1', '3']",2.0,"['10', '20']",12.5
深圳市蜂巢资讯传播有限公司,深圳市蜂巢资讯传播有限公司,50-150人,未融资,南山区,中高级PHP开发工程师,3-5年,本科,13k-20k,平等、宽松舒适的团队工作环境,"['3', '5']",4.0,"['13', '20']",14.75
深圳市中顺和盈科技有限公司,ACINgame,50-150人,未融资,南山区,PHP开发工程师,1-3年,本科,10k-18k,"成长空间大,发展快速","['1', '3']",2.0,"['10', '18']",12.0
深圳华会科技有限公司,华会科技,15-50人,A轮,宝安区,高级PHP开发工程师,1-3年,本科,8k-16k,"五险一金,双休,交通补贴,餐补","['1', '3']",2.0,"['8', '16']",10.0
中邮电贸实业（深圳）有限公司,中邮电商,15-50人,不需要融资,福田区,PHP高级工程师,3-5年,大专,12k-15k,"PHP,跨境电商,带薪年假,节日福利","['3', '5']",4.0,"['12', '15']",12.75
深圳市鑫德正科技有限公司,深圳市鑫德正科技有限公司,50-150人,不需要融资,龙岗区,PHP开发工程师（坂田杨美上班）,1-3年,大专,8k-15k,"90团队,妹子多,下午茶,员工团建","['1', '3']",2.0,"['8', '15']",9.75
深圳教你网络科技有限公司,深圳教你,50-150人,未融资,龙岗区,PHP小程序开发,1-3年,大专,8k-15k,"美女如云,年轻团队,早9晚6","['1', '3']",2.0,"['8', '15']",9.75
深圳市比巴科技有限公司,比巴,15-50人,A轮,南山区,高级PHP开发工程师,5-10年,大专,15k-20k,"下午茶,有奖金","['5', '10']",7.5,"['15', '20']",16.25
深圳市和谐号教育科技有限公司,和谐号,50-150人,不需要融资,龙华新区,PHP 中级工程师,3-5年,大专,12k-15k,"平台好,前景光明","['3', '5']",4.0,"['12', '15']",12.75
深圳市易仓科技有限公司,易仓,150-500人,未融资,南山区,PHP工程师,3-5年,大专,8k-16k,"跨境电商,技术团队,五险一金,下午茶","['3', '5']",4.0,"['8', '16']",10.0
深圳市赢众通金融信息服务有限责任公司,小赢科技,500-2000人,B轮,南山区,初级PHP开发工程师,1-3年,本科,10k-20k,富诱惑力的薪酬、良好的发展机会,"['1', '3']",2.0,"['10', '20']",12.5
深圳市八度时空科技有限公司,八度科技,15-50人,不需要融资,南山区,PHP开发工程师,1-3年,本科,10k-20k,"高福利,大牛带队,周末双休,下午茶","['1', '3']",2.0,"['10', '20']",12.5
深圳市中润文化传播有限公司,中润文化传播,50-150人,未融资,南山区,PHP工程师,3-5年,大专,8k-15k,"周末双休,项目奖金,五险一金,年终奖金","['3', '5']",4.0,"['8', '15']",9.75
深圳传奇无限网络有限公司,传奇无限,少于15人,天使轮,南山区,PHP开发工程师,3-5年,大专,8k-15k,"项目奖,氛围轻松,前景广阔,福利好","['3', '5']",4.0,"['8', '15']",9.75
深圳市驱动新媒体有限公司,车商通,50-150人,B轮,南山区,高级PHP/架构师,5-10年,大专,18k-25k,"美女多,弹性上班,周末双休,五险一金","['5', '10']",7.5,"['18', '25']",19.75
深圳礼舍科技有限公司,礼舍科技,50-150人,A轮,南山区,PHP开发工程师,应届毕业生,本科,10k-18k,"技术团队牛,公司氛围好,福利项目多",[],0.0,"['10', '18']",12.0
深圳市彬讯科技有限公司,土巴兔,2000人以上,C轮,南山区,php开发（高级）,5-10年,本科,20k-40k,"六险一金,节日福利,年度体检,带薪年假","['5', '10']",7.5,"['20', '40']",25.0
深圳优创智投科技有限公司,UCToo,15-50人,未融资,南山区,PHP高级工程师,1-3年,不限,7k-14k,"创意实现,项目提成,带薪年假,股份期权","['1', '3']",2.0,"['7', '14']",8.75
深圳市鹏讯网络科技有限公司,鹏讯公司,50-150人,未融资,南山区,高级PHP工程师,1-3年,大专,10k-20k,"周末双休,出国旅游,年底奖金,下午茶","['1', '3']",2.0,"['10', '20']",12.5
