data-id,城市,美食,票数
66295,遂平,没有,0
140612,汝州,没有,0
27771,屏东,黑珍珠莲雾,150
27771,屏东,绿豆馔,139
27771,屏东,猪脚,103
27771,屏东,鱼生,51
27771,屏东,黑鲔鱼,18
27771,屏东,樱花虾,12
27771,屏东,油鱼子,1
17746,盱眙,没有,0
20927,七一冰川,没有,0
17316,千灯,没有,0
11067,日月潭,没有,0
21529,茅山,没有,0
64166,汤阴,没有,0
12594,南投,总统鱼,18
12594,南投,肉圆,9
12594,南投,番薯,8
12594,南投,竹笋,7
12594,南投,梅子,6
12594,南投,绍兴酒冰棒,1
12594,南投,南投意面,1
174194,可克达拉市,没有,0
10337,如皋,没有,0
140688,启东,没有,0
21034,高邮,没有,0
11359,刘家峡,没有,0
140566,鄢陵,没有,0
18007,库木塔格沙漠,没有,0
64167,商城县,没有,0
25340,台东,没有,0
140557,永城,没有,0
63220,句容,没有,0
143793,中牟,没有,0
14296,博格达峰,没有,0
26088,淡水,没有,0
18048,溧水,没有,0
18896,东台,没有,0
22346,嘉义,没有,0
27820,泰兴,没有,0
16018,麦积山,没有,0
143782,偃师,没有,0
146823,封门村,没有,0
62975,新北,没有,0
19818,如东,没有,0
17808,南郭寺,没有,0
64181,鹿邑,没有,0
64159,舞钢,没有,0
16211,宜兰,肉羹,8
16211,宜兰,三星葱馅饼,1
66289,沁阳,没有,0
55434,邳州,没有,0
30112,官鹅沟,没有,0
15812,瑞丽,米线,36
15812,瑞丽,水果,32
15812,瑞丽,绿叶宴,1
17913,交河故城,没有,0
12715,德钦,没有,0
64200,卫辉,没有,0
64640,靖江,没有,0
64639,大丰,没有,0
22266,黎里古镇,没有,0
16895,黄河石林,没有,0
10481,虎跳峡,没有,0
140562,方城,没有,0
15060,建水,没有,0
23995,太仓沙溪,没有,0
11871,红河,没有,0
64642,海门,没有,0
174347,平川区,没有,0
143784,桐柏,没有,0
10650,东川,没有,0
17998,新疆天鹅湖,没有,0
141611,金坛,没有,0
10165,石林,没有,0
10444,青岛,烧烤,1229
10444,青岛,蛤蜊,658
10444,青岛,鲅鱼,468
10444,青岛,排骨饭,374
10444,青岛,鲍鱼,272
10444,青岛,凉粉,241
10444,青岛,海螺,215
10444,青岛,笔管,105
10444,青岛,三鲜锅贴,32
10444,青岛,肉末海参,28
66288,孟津,没有,0
64641,海安,没有,0
18511,新野,没有,0
11533,玉溪,玉溪米线,63
11533,玉溪,青松烧鸭,1
11533,玉溪,竹筒汤,1
11533,玉溪,哀牢山三珍,1
20416,溱潼古镇,没有,0
64158,郏县,没有,0
10575,济南,油旋,91
10575,济南,九转大肠,78
10575,济南,糖醋鲤鱼,49
10575,济南,爆炒腰花,29
10575,济南,甜沫,27
10575,济南,打卤面,9
10575,济南,坛子肉,4
64634,新沂,没有,0
10523,怒江,没有,0
140568,民权县,没有,0
10284,泰山,煎饼,256
10284,泰山,烧烤,74
10284,泰山,泰山三美,31
10284,泰山,赤鳞鱼,13
10284,泰山,豆腐宴,3
10284,泰山,野菜宴,2
10284,泰山,枣糕,2
10284,泰山,药膳宴,1
10256,威海,鲅鱼水饺,18
10256,威海,小鸡炖蘑菇,2
10256,威海,红烧海参,1
10256,威海,爆炒天鹅蛋,1
10256,威海,红烧对虾,1
11243,烟台,海鲜,386
11243,烟台,蓬莱小面,64
11243,烟台,鲜鱼水饺,34
11243,烟台,杠子头,14
11243,烟台,焖子,13
11243,烟台,福山大面,4
11243,烟台,卤驴肉,2
11243,烟台,八仙宴,1
64637,扬中,没有,0
58705,桃园,没有,0
10430,枫桥古镇,没有,0
145920,北投,没有,0
10805,日照,花蛤,117
10805,日照,煎饼,36
10805,日照,沙根子粉,10
10805,日照,西施舌,2
143783,南召,没有,0
11817,泰安,没有,0
64928,仁爱,没有,0
10795,南街村,没有,0
11063,基隆,海鲜,24
11063,基隆,鼎边锉,6
84556,江都,没有,0
11270,长岛,鲜鱼水饺,60
11270,长岛,铁板鱿鱼,16
11270,长岛,大虾,12
11270,长岛,海菜包子,12
11270,长岛,寄居蟹,9
11270,长岛,香辣蟹,1
10360,绿岛,鹿肉料理,6
10360,绿岛,酥炸飞鱼,6
10360,绿岛,海草冰沙,4
10360,绿岛,海草蛋饼,1
10360,绿岛,羊肉炉,1
64635,洪泽,没有,0
176321,沭阳县,没有,0
140689,淅川,没有,0
143772,滑县,没有,0
10443,蓬莱,海鲜,119
10443,蓬莱,鲜鱼水饺,64
10443,蓬莱,蓬莱小面,48
10443,蓬莱,蓬莱馒头,15
10443,蓬莱,咸鱼饼子,9
10443,蓬莱,八仙宴,1
11066,澎湖,仙人掌果及其他制品,27
84494,仪征,没有,0
64162,泌阳,没有,0
11244,曲阜,煎饼,37
11244,曲阜,孔府宴,18
11244,曲阜,熏豆腐,13
11244,曲阜,鸭子,5
11244,曲阜,带子上朝,2
11244,曲阜,甏肉干饭,1
58033,平溪,没有,0
182219,瑞芳,没有,0
29429,彰化,没有,0
64168,淇县,没有,0
64632,沛县,没有,0
11707,潍坊,没有,0
176363,东海县,没有,0
140758,射阳,没有,0
24185,保山,饵丝,192
24185,保山,大救驾,164
24185,保山,稀豆粉,109
24185,保山,和顺头脑,50
24185,保山,大薄片,21
24185,保山,施甸三味,7
24185,保山,三滴水,4
24185,保山,坛子鸡,2
24185,保山,素席,1
24185,保山,油鸡枞,1
64633,睢宁,没有,0
140673,汝阳,没有,0
11494,楚雄,没有,0
12819,临沂,没有,0
16491,和顺,没有,0
17019,台儿庄,没有,0
63873,社旗,没有,0
147280,明月湾村,没有,0
64169,浚县,没有,0
64179,项城,没有,0
17298,弥勒,没有,0
11705,淄博,没有,0
143780,洛宁,没有,0
21358,普洱,没有,0
11400,崂山,没有,0
176384,宝应县,没有,0
13113,济宁,没有,0
12643,曲靖,花山带皮羊肉,26
12643,曲靖,蒸饵丝,22
12643,曲靖,辣子鸡,9
12643,曲靖,洋芋鸡,3
12643,曲靖,麻衣馓子,1
12643,曲靖,黑皮子,1
24834,澄江,没有,0
176294,丰县,没有,0
11708,枣庄,没有,0
84721,固始,没有,0
176312,泗洪县,没有,0
140570,阜宁,没有,0
176318,泗阳县,没有,0
63872,内乡,没有,0
175769,新县,没有,0
15946,沙溪,没有,0
11921,东营,没有,0
11936,德州,没有,0
11926,聊城,没有,0
64163,汝南,没有,0
143708,永联村,没有,0
66251,玉龙纳西族自治县,没有,0
140560,邓州,没有,0
64638,建湖,没有,0
64636,灌云,没有,0
64946,新城,没有,0
176408,滨海县,没有,0
23044,礁溪,没有,0
15962,青州,没有,0
176405,响水县,没有,0
141609,兰考,没有,0
21747,黄岛,没有,0
18571,张浦,没有,0
143803,舞阳,没有,0
66294,确山,没有,0
25327,苗栗,没有,0
52237,兰屿,没有,0
11820,菏泽,没有,0
176336,涟水县,没有,0
58690,新竹,没有,0
55762,荣成,没有,0
143774,武陟,没有,0
139549,嘉义县,没有,0
176324,金湖县,没有,0
176369,灌南县,没有,0
145817,西湖乡,没有,0
64161,襄城,没有,0
64947,吉安乡,没有,0
17303,烟墩角,没有,0
23992,紫金山,没有,0
18728,洋口港,没有,0
175763,罗山县,没有,0
173540,竹崎乡,没有,0
140567,渑池,没有,0
140558,博爱县,没有,0
11436,莱芜,没有,0
15949,喜洲,没有,0
143788,义马,没有,0
29785,明孝陵,没有,0
11827,昭通,没有,0
11612,乳山,没有,0
17763,夫子庙,没有,0
16588,阳澄湖,没有,0
140582,镇平,没有,0
23865,文山,砚山米线,59
23865,文山,三七汽锅鸡,7
23865,文山,花糯米饭,4
23865,文山,醉虾,1
23865,文山,岜夯鸡,1
23865,文山,粽粑,1
23865,文山,坨肉,1
23865,文山,椒盐饼,1
17824,丙中洛,石头粑粑,5
17824,丙中洛,蛋酒,1
17824,丙中洛,酸竹菜,1
17824,丙中洛,酒焖鸡,1
26752,玄武湖,没有,0
30426,芒市,没有,0
20482,滨州,没有,0
22136,坝美,没有,0
16768,龙口,没有,0
143789,长垣,没有,0
140571,原阳,没有,0
17764,中山陵,没有,0
19625,德宏,没有,0
64454,海阳,没有,0
15960,周村,没有,0
11277,洪泽湖,没有,0
143797,西华,没有,0
28294,沂水,没有,0
143802,正阳,没有,0
63577,蒙自,没有,0
143785,宝丰,没有,0
15954,哈巴雪山,没有,0
38737,林屋洞,没有,0
11276,高密,没有,0
84781,城阳,没有,0
140617,长葛,没有,0
64380,即墨,没有,0
44093,金鸡湖,没有,0
41874,栖霞寺,没有,0
64927,鱼池,没有,0
58689,马祖,没有,0
64936,琉球,没有,0
22069,滕州,没有,0
18318,盛泽湖,没有,0
18238,山塘街,没有,0
143781,伊川,没有,0
64923,鹿港,没有,0
25539,大明寺,没有,0
18168,陆巷,没有,0
64381,栖霞,没有,0
18281,莱州,没有,0
66296,临颍,没有,0
25946,邹城,没有,0
25191,章丘,没有,0
64941,成功,没有,0
25664,瘦西湖,没有,0
140569,宜阳,没有,0
14580,天目湖,没有,0
56775,东平,没有,0
17889,临朐,没有,0
64330,莒南,没有,0
55759,鸡鸣岛,没有,0
75897,金山,没有,0
23833,云林,没有,0
143786,叶县,没有,0
17765,鼋头渚,没有,0
84692,胶州,没有,0
26013,宝华山,没有,0
143795,沈丘,没有,0
15964,花果山,没有,0
140619,诸城,没有,0
64868,罗东,没有,0
64232,蒙阴,没有,0
175811,宁陵县,没有,0
175805,睢县,没有,0
66309,微山,没有,0
66311,文登,没有,0
15965,栖霞山,没有,0
175766,光山县,没有,0
64376,寿光,没有,0
48611,留园,没有,0
75910,中坜,没有,0
24367,天平山,没有,0
63071,丘北,没有,0
175823,夏邑县,没有,0
144211,费县,没有,0
18269,溱湖,没有,0
143800,西平,没有,0
63815,平邑,没有,0
42813,锡惠公园,没有,0
16394,元谋,没有,0
143798,平舆,没有,0
18279,唐河,没有,0
143790,封丘,没有,0
143787,卢氏,没有,0
140539,梁山县,没有,0
10088,广州,汤,466
10088,广州,叉烧,216
10088,广州,烧鹅,112
10088,广州,叉烧包,87
10088,广州,猪手,73
10088,广州,牛河,53
10088,广州,煲仔饭,50
10088,广州,荷叶饭,2
10088,广州,冬瓜盅,2
10088,广州,猪肚煲鸡,1
17543,临沧,没有,0
175676,温县,没有,0
17823,诺邓,没有,0
10198,深圳,鲜蚝,37
10198,深圳,乳鸽,28
10198,深圳,海胆,21
10198,深圳,烧鹅,7
10198,深圳,鲍鱼,5
10198,深圳,基围虾,4
10198,深圳,狗肉,1
10198,深圳,乌头鱼,1
10198,深圳,三黄鸡,1
10198,深圳,腊鸭,1
18302,勐腊,没有,0
23991,新泰,没有,0
15948,剑川,没有,0
143796,太康,没有,0
18459,会泽,没有,0
23457,巍山,没有,0
10269,珠海,横琴蚝,39
10269,珠海,海虾,13
10269,珠海,凤爪,7
10269,珠海,莲藕,2
10269,珠海,膏蟹,2
10269,珠海,河虾,1
10269,珠海,重壳蟹,1
10269,珠海,对虾,1
10269,珠海,脆肉鲩,1
11475,惠州,酿豆腐,4
11475,惠州,白切鸡,3
11475,惠州,梅菜扣肉,2
11475,惠州,狗肉煲,2
11475,惠州,盐焗鸡,1
11475,惠州,敛糕,1
11475,惠州,沙糕板,1
11475,惠州,窝全鸭,1
11475,惠州,发糕,1
140800,商河,没有,0
175802,郸城县,没有,0
63566,鹤庆,没有,0
13394,佛山,双皮奶,50
13394,佛山,云吞面,10
13394,佛山,伦教糕,8
13394,佛山,九层糕,1
